name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
无锡银行,银行,121.54,11.43,92.15,4.6,14.8,13.37,9.36,27
贵阳银行,银行,209.5,15.44,92.04,6.4,12.0,18.88,16.66,16
青岛银行,银行,203.13,8.91,92.63,4.6,13.8,9.47,4.2,39
上海银行,银行,875.13,6.53,92.38,6.4,17.8,14.42,10.75,25
农业银行,银行,12424.4,12.06,92.08,8.8,14.2,69.82,84.08,3
浙商银行,银行,755.28,11.17,93.31,6.4,17.0,16.33,13.28,20
北京银行,银行,981.03,10.58,91.66,7.6,12.6,14.16,10.41,26
工商银行,银行,16822.38,12.47,91.13,10.0,9.2,81.85,100.0,1
浦发银行,银行,2219.02,10.59,91.96,8.2,17.4,20.88,19.3,13
邮储银行,银行,4938.22,12.2,94.31,8.8,12.0,31.84,33.81,6
民生银行,银行,1751.3,9.01,92.04,6.4,15.4,15.66,12.4,21
江阴银行,银行,87.1,9.78,91.12,5.2,11.2,9.24,3.89,40
杭州银行,银行,715.19,12.14,93.64,4.6,14.4,14.83,11.29,24
重庆银行,银行,287.69,11.83,92.33,5.6,12.6,13.33,9.31,28
光大银行,银行,1837.56,10.99,91.93,8.2,14.6,18.35,15.96,18
兴业银行,银行,3429.83,13.74,92.22,7.0,12.4,25.68,25.66,8
交通银行,银行,4240.4,10.8,91.99,9.4,16.4,29.23,30.35,7
华夏银行,银行,919.88,9.99,91.63,17.2,18.8,24.79,24.48,9
南京银行,银行,887.49,15.56,93.06,6.4,15.2,21.01,19.48,11
齐鲁银行,银行,189.65,11.59,92.53,4.0,13.4,12.51,8.23,31
中信银行,银行,2874.36,10.82,92.23,1.4,12.4,18.57,16.25,17
建设银行,银行,15075.66,12.83,91.44,8.8,13.6,80.75,98.55,2
成都银行,银行,528.61,17.14,93.35,2.8,12.8,20.95,19.4,12
瑞丰银行,银行,114.79,10.61,90.61,4.0,12.2,10.27,5.26,38
紫金银行,银行,109.1,10.47,92.93,5.2,14.6,12.25,7.88,34
尚太科技,非金属材料,151.27,26.74,24.88,5.2,4.6,44.18,38.56,5
美畅股份,非金属材料,220.47,33.31,14.88,5.2,5.6,51.16,49.68,3
合盛硅业,非金属材料,840.55,29.99,48.08,1.2,6.8,82.73,100.0,1
联瑞新材,非金属材料,82.42,17.36,16.64,6.4,6.6,37.94,28.62,11
石英股份,非金属材料,338.63,17.06,11.98,0.8,7.4,51.26,49.85,2
建龙微纳,非金属材料,51.59,25.45,32.6,7.0,2.4,39.01,30.32,9
鲁信创投,非金属材料,101.75,8.88,39.29,4.6,9.2,32.48,19.92,23
天马新材,非金属材料,8.32,21.27,32.57,3.0,4.6,35.4,24.57,15
