id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
2529,海源复材,-22.35,-14.18,3.91,-47.58,-11.83,53.32,29.55,30.57,43.87,27.50
301158,德石股份,6.44,9.95,10.38,11.97,8.82,18.41,32.71,31.52,32.19,33.56
301360,荣旗科技,33.21,39.02,45.72,36.63,65.94,56.28,50.9,54.68,28.27,39.49
688529,豪森股份,7.87,6.59,18.15,29.01,34.51,71.06,63.2,61.43,83.84,97.54
688596,正帆科技,12.90,9.37,12.01,13.72,14.49,59.47,46.77,39.68,60.55,68.86
688160,步科股份,13.32,11.81,23.55,21.00,20.23,18.7,14.94,20.67,22.87,21.25
603029,天鹅股份,7.44,4.94,1.91,1.41,2.11,57.26,44.15,42.26,37.33,32.93
688121,卓然股份,9.23,29.99,45.26,30.51,13.75,71.7,70.37,86.61,87.31,82.00
821,京山轻机,9.59,5.57,2.40,-20.98,4.63,66.26,61.89,61.8,53.18,44.07
300875,捷强装备,-1.29,2.18,14.39,32.91,49.22,17.08,14.02,6.49,24.91,15.43
300776,帝尔激光,16.63,19.02,22.92,31.48,71.22,43.08,38.55,32.9,34.02,63.84
2353,杰瑞股份,15.05,13.49,16.23,14.99,7.53,37.99,34.37,39.53,39.22,27.28
688531,日联科技,18.10,21.46,18.42,9.65,0.89,41.18,33.8,37.93,65.23,43.61
300833,浩洋股份,17.81,7.53,6.80,34.45,27.34,11.28,10.04,3.61,12.72,24.82
688001,华兴源创,9.00,9.50,11.23,13.56,30.83,31.5,31.43,13.1,11.19,26.70
601608,中信重工,1.92,3.08,2.70,1.62,1.48,59.79,62.03,62.19,63.93,62.60
688082,盛美上海,12.98,18.09,21.20,34.22,137.72,32.43,24.02,43.12,36.55,77.19
603300,华铁应急,16.18,14.38,13.81,17.06,-2.01,67.53,61.34,49.66,60.66,33.85
688113,联测科技,11.15,19.37,22.79,24.97,18.43,29.94,30.05,45.87,52.96,56.35
688128,中国电研,14.30,13.29,12.83,19.63,18.98,57.17,49.2,41.98,39.09,60.67
