公司名称,公司代码,高管姓名,高管性别,高管年龄,高管学历,高管薪酬,高管职务
上海谊众,688091,韩宝惠,男,62,博士,--,非职工代表监事
上海谊众,688091,孟心然,女,30,硕士,--,职工代表监事
上海谊众,688091,张芷源,女,32,硕士,--,财务总监
艾力斯,688578,杜锦豪,男,69,大专,187.5万,"董事长,总经理,法定代表人,非独立董事"
艾力斯,688578,祁菊,女,71,高中,--,非独立董事
艾力斯,688578,胡捷,男,48,硕士,130.5万,"非独立董事,副董事长,副总经理"
艾力斯,688578,徐锋,男,58,硕士,130.5万,"非独立董事,副总经理"
艾力斯,688578,JEFFREY YANG GUO,男,34,博士,--,非独立董事
艾力斯,688578,金家齐,男,35,博士,--,非独立董事
艾力斯,688578,谢榕刚,男,37,硕士,--,非独立董事
艾力斯,688578,阳佳余,女,44,博士,9.600万,独立董事
艾力斯,688578,吕超,男,41,硕士,9.600万,独立董事
艾力斯,688578,严骏,男,41,本科,9.600万,独立董事
艾力斯,688578,朱圣韬,男,45,博士,9.600万,独立董事
艾力斯,688578,张晓芳,女,48,硕士,59.21万,"监事会主席,股东代表监事"
艾力斯,688578,储胜明,男,53,硕士,--,股东代表监事
艾力斯,688578,王丽君,女,42,本科,--,职工代表监事
艾力斯,688578,罗会兵,男,49,博士,168.0万,首席化学官
艾力斯,688578,单华峰,女,49,硕士,131.2万,首席质量官
艾力斯,688578,黄晨,男,48,本科,--,营销负责人
艾力斯,688578,王林,男,40,本科,--,财务负责人
艾力斯,688578,李硕,女,33,硕士,89.11万,董事会秘书
惠城环保,300779,叶红,女,49,硕士,77.73万,"董事长,副总经理,非独立董事"
惠城环保,300779,林瀚,男,34,本科,87.17万,"总经理,法定代表人,非独立董事"
惠城环保,300779,谭映临,女,52,本科,81.23万,副总经理
惠城环保,300779,史惠芳,女,42,本科,85.06万,"副总经理,非独立董事,董事会秘书"
惠城环保,300779,盛波,男,51,本科,79.96万,"副总经理,财务总监"
惠城环保,300779,李恩泉,男,50,硕士,83.87万,副总经理
惠城环保,300779,张新功,男,53,硕士,71.43万,非独立董事
惠城环保,300779,杨朝合,男,59,博士,6.000万,独立董事
惠城环保,300779,王爱东,男,60,博士,6.000万,独立董事
惠城环保,300779,周灿,男,38,本科,6.000万,独立董事
惠城环保,300779,李宏宽,男,50,本科,28.19万,"监事会主席,非职工代表监事"
惠城环保,300779,马丽丽,女,43,博士,0.000,非职工代表监事
惠城环保,300779,郭昆,女,46,本科,7.000万,职工代表监事
建工修复,300958,常永春,男,52,本科,0.000,"董事长,法定代表人,非独立董事"
建工修复,300958,原波,男,54,本科,0.000,总经理
建工修复,300958,李书鹏,男,45,硕士,104.1万,副总经理
建工修复,300958,刘鹏,男,40,硕士,23.08万,副总经理
建工修复,300958,桂毅,男,49,本科,96.46万,"常务副总经理,非独立董事"
建工修复,300958,徐宏伟,男,41,硕士,75.17万,副总经理
建工修复,300958,陈德清,男,54,本科,0.000,董事
建工修复,300958,李文波,男,57,硕士,111.3万,董事
建工修复,300958,迟晓燕,女,44,博士,0.000,董事
建工修复,300958,张流芳,女,36,硕士,37.03万,职工董事
建工修复,300958,赵鸿雁,女,43,硕士,34.66万,董事会秘书
建工修复,300958,李广贺,男,65,博士,8.000万,独立董事
建工修复,300958,刘洪跃,男,60,硕士,2.670万,独立董事
建工修复,300958,黄张凯,男,48,博士,8.000万,独立董事
建工修复,300958,刘翠莲,女,52,硕士,0.000,"监事会主席,监事"
建工修复,300958,刘翠,女,60,大专,--,监事
建工修复,300958,李濛,男,45,硕士,14.06万,职工监事
建工修复,300958,宋云,男,57,硕士,71.19万,总工程师
建工修复,300958,杨乐巍,男,51,博士,55.39万,副总工程师
建工修复,300958,郭丽莉,女,42,硕士,63.83万,副总工程师
建工修复,300958,陈有鑑,男,54,博士,49.25万,副总工程师
建工修复,300958,吴渝,女,47,硕士,73.10万,财务总监
东方园林,002310,张浩楠,男,42,硕士,--,"董事长,非独立董事"
东方园林,002310,贾莹,女,49,硕士,121.0万,"总裁,法定代表人,非独立董事"
东方园林,002310,陈莹,女,46,硕士,82.98万,"副总裁,非独立董事,董事会秘书"
东方园林,002310,张超,男,43,本科,--,副总裁
东方园林,002310,何澜,女,32,本科,0.000,非独立董事
东方园林,002310,何昊,男,26,大学学历,--,非独立董事
东方园林,002310,胡健,男,34,硕士,--,非独立董事
东方园林,002310,张光,男,38,本科,--,独立董事
东方园林,002310,刘雪亮,女,60,硕士,10.00万,独立董事
东方园林,002310,孙燕萍,女,42,硕士,10.00万,独立董事
东方园林,002310,谭潭,男,37,硕士,--,"监事会主席,非职工代表监事"
东方园林,002310,何美娟,女,41,硕士,--,非职工代表监事
东方园林,002310,丁传华,男,41,硕士,--,职工代表监事
东方园林,002310,李在渊,男,45,硕士,--,财务负责人
嘉戎技术,301148,蒋林煜,男,49,本科,19.18万,"董事长,法定代表人,董事"
