公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
600804,ST鹏博士,-37.25,-267.65,12.27,-150.14,5.32,87.59,86.75,91.73,94.84,69.53
2908,德生科技,10.96,11.21,9.50,12.53,11.20,23.00,35.27,24.30,20.03,20.79
601728,中国电信,6.40,6.70,5.80,5.90,6.10,45.97,43.43,48.79,49.51,48.13
971,ST高升,-107.91,-52.09,10.70,-40.76,-89.50,81.53,53.87,44.25,54.61,45.85
300560,中富通,3.28,6.86,10.95,10.22,11.51,57.89,59.64,46.13,47.05,45.03
300597,吉大通信,2.55,4.01,3.72,5.35,5.87,22.07,21.83,24.32,26.46,26.75
300921,南凌科技,6.92,7.82,31.78,40.43,38.85,14.41,12.67,8.58,28.74,40.20
300571,平治信息,7.86,29.96,24.75,35.37,41.13,60.09,62.79,73.04,57.89,53.15
603220,中贝通信,6.24,10.96,3.54,9.69,16.57,59.77,56.80,55.58,48.64,50.50
301139,元道通信,10.78,17.68,17.40,19.07,12.88,33.84,56.96,52.49,42.85,41.56
300183,东软载波,5.14,4.33,6.25,6.90,6.55,12.00,10.22,6.92,9.39,11.95
300310,宜通世纪,1.12,3.08,1.19,2.01,-77.30,39.78,36.11,33.07,31.64,39.22
603421,鼎信通讯,3.61,4.88,5.85,5.66,9.13,41.31,36.39,27.86,19.54,25.99
300050,世纪鼎利,-43.43,-80.60,1.07,-18.48,2.01,35.19,36.06,21.26,27.52,21.96
300081,恒信东方,-21.06,-28.30,-21.90,2.19,8.46,22.17,15.26,21.60,17.15,24.53
603322,超讯通信,7.55,-70.11,9.87,-21.50,5.01,85.26,83.07,70.87,72.17,69.54
300578,会畅通讯,1.03,-17.26,10.44,9.55,5.34,16.20,14.44,24.42,20.04,15.72
300736,百邦科技,-22.64,3.39,-38.52,-28.04,6.95,35.71,33.09,32.37,21.91,14.50
300211,亿通科技,5.05,6.05,1.98,1.31,1.00,12.79,19.77,9.64,8.38,8.88
2123,梦网科技,-18.95,-5.49,2.34,-6.78,1.68,45.51,32.35,31.60,29.84,31.18
300762,上海瀚讯,3.23,10.90,12.90,10.83,18.25,20.09,19.68,27.06,26.82,40.27
300620,光库科技,7.41,8.94,8.87,9.78,15.71,15.89,13.25,13.50,25.56,32.34
688100,威胜信息,14.86,13.84,12.48,15.11,14.26,29.82,29.01,28.30,36.01,29.74
688387,信科移动-U,-16.04,-42.84,--,--,--,53.79,66.39,89.11,105.60,91.60
300638,广和通,16.44,21.75,19.92,29.58,21.38,62.06,53.59,46.51,36.55,55.29
688609,九联科技,4.69,8.48,17.33,18.67,8.38,54.37,56.39,63.38,69.53,77.70
300710,万隆光电,-3.26,4.77,9.82,2.10,2.50,24.36,30.82,34.25,27.46,24.14
688311,盟升电子,1.47,7.78,10.66,15.78,9.02,32.29,27.57,23.04,40.29,37.97
200468,宁通信B,-114.39,-105.00,12.29,-66.55,1.66,88.69,85.44,74.61,81.83,76.99
688668,鼎通科技,19.65,14.32,22.78,22.85,20.56,14.17,20.22,16.36,24.93,28.84
2104,恒宝股份,4.32,2.75,0.09,4.54,7.82,13.93,15.47,15.76,14.15,11.90
3040,楚天龙,11.46,4.87,10.31,13.15,7.05,31.68,32.41,35.09,34.07,36.61
688313,仕佳光子,5.32,4.26,4.55,-0.24,-1.91,23.50,23.29,21.66,30.36,40.78
2413,雷科防务,-20.64,-5.14,4.46,3.85,3.65,29.03,22.96,29.59,19.46,12.22
600776,东方通信,4.06,3.59,3.28,4.24,4.18,19.86,18.92,19.99,19.57,18.05
3031,中瓷电子,12.49,11.26,16.00,14.53,21.65,29.43,26.74,27.76,31.20,28.35
300101,振芯科技,21.83,13.70,8.33,0.50,1.74,34.25,36.68,38.53,32.86,28.76
600562,国睿科技,11.22,11.70,12.34,11.14,7.21,37.42,34.53,44.40,33.10,38.04
300629,新劲刚,11.28,9.77,6.30,-6.19,2.16,16.11,16.54,22.06,40.01,26.81
2829,星网宇达,17.99,15.20,11.71,1.40,2.26,37.25,39.15,33.48,34.69,40.30
300555,ST路通,-3.05,-2.57,0.53,0.78,1.62,22.07,20.03,20.10,18.49,22.39
300205,天喻信息,5.99,-11.97,-4.39,14.20,8.08,54.42,55.22,52.93,46.62,38.68
688132,邦彦技术,4.93,14.97,15.77,25.00,-360.79,22.16,60.18,58.15,46.98,99.67
300134,大富科技,1.86,-5.08,0.99,-6.85,0.46,27.87,22.36,16.94,19.55,19.72
547,航天发展,0.41,7.38,9.94,9.05,7.70,30.46,28.44,24.85,24.60,22.52
561,烽火电子,5.57,6.79,6.36,7.76,6.54,55.09,52.72,52.21,49.88,48.35
688418,震有科技,-20.88,-8.48,5.26,12.97,18.66,39.95,27.19,16.28,32.89,36.22
688027,国盾量子,-5.22,-2.25,2.32,5.22,8.35,15.30,15.34,12.79,20.24,26.49
63,中兴通讯,14.66,14.49,10.18,19.96,-26.10,67.09,68.42,69.38,73.12,74.52
603236,移远通信,17.98,12.72,10.57,13.34,32.21,63.79,60.57,59.39,41.52,49.30
2935,天奥电子,7.61,8.58,7.79,9.11,11.91,41.67,29.46,26.38,23.02,19.86
900941,东信Ｂ股,4.06,3.59,3.28,4.24,4.18,19.86,18.92,19.99,19.57,18.05
32,深桑达Ａ,-2.75,8.25,7.69,9.30,7.80,80.84,78.84,79.99,29.20,29.59
600198,大唐电信,8.41,--,--,--,--,49.27,62.40,109.14,75.30,91.84
600990,四创电子,2.43,6.98,6.84,4.57,11.33,63.01,64.56,67.20,64.97,67.62
600345,长江通信,8.44,4.47,4.17,5.85,14.16,11.85,8.96,8.30,6.56,5.64
300590,移为通信,10.24,12.39,8.72,17.45,15.38,13.93,21.38,14.77,15.32,18.61
300397,天和防务,-7.94,-4.48,8.61,7.94,-14.96,28.41,21.98,21.19,29.50,20.11
600498,烽火通信,3.38,2.48,0.90,9.40,8.65,64.92,65.22,65.54,61.72,63.24
2151,北斗星通,3.32,4.69,4.14,-17.87,2.43,36.73,34.85,34.59,41.45,35.10
2583,海能达,6.90,-11.17,0.02,1.32,8.10,44.73,55.47,56.14,62.76,59.15
688788,科思科技,-6.78,6.02,15.21,38.29,80.27,5.46,4.50,8.74,35.16,42.65
600462,ST九有,-223.30,-296.19,-221.22,807.20,-159.97,95.12,84.77,86.98,117.10,90.65
600775,南京熊猫,1.14,1.12,2.22,1.49,4.73,35.01,37.23,37.58,38.73,40.31
600487,亨通光电,7.46,7.02,7.36,10.34,22.00,51.68,53.01,51.86,60.08,62.73
835640,富士达,20.69,17.14,16.85,21.36,8.51,44.03,40.10,42.60,50.23,48.31
688175,高凌信息,5.75,18.76,25.18,16.28,10.93,8.17,25.32,32.20,44.83,41.16
688159,有方科技,-7.08,-1.55,-8.83,11.43,13.86,43.21,44.39,35.05,48.12,42.82
300414,中光防雷,2.65,3.21,3.59,5.79,6.52,20.38,20.15,16.92,13.10,14.46
2396,星网锐捷,11.44,12.19,10.03,15.36,16.82,40.01,49.18,43.98,36.78,39.07
688080,映翰通,8.97,15.05,6.95,18.26,20.05,8.86,13.68,12.36,18.27,20.58
2194,武汉凡谷,11.04,10.30,9.57,14.93,11.97,21.58,22.51,20.33,22.12,22.04
300504,天邑股份,9.17,9.28,5.99,6.04,10.14,29.35,32.42,26.57,27.77,40.48
